baseMean	log2FoldChange	lfcSE	pvalue	padj
Ctdspl	395.44433832187	-2.3337123220928	0.23347831944965	8.71442669440962e-25	7.63686888924001e-24
Fam46a	1236.65471621572	-2.3330244988561	0.138510494045428	7.42521054423308e-65	1.64826590010531e-63
Tmx4	3493.66491234118	-2.33158659485013	0.0826918025228618	4.37602881780923e-176	3.39243218660626e-174
Serpinf1	1387.09887864463	-2.32971804838307	0.129966179463905	4.76046569713067e-73	1.19640831161304e-71
Slc16a3	417.450958988029	-2.3268892730671	0.230643543746011	3.36801482623432e-25	3.01714252611462e-24
Srgn	17068.4308380068	-2.32505463994063	0.0470318528117809	0	0
Scamp5	115.138132247038	-2.31978209514724	0.54132248149462	5.02810268985942e-07	1.47994214101645e-06
Plpp5	970.093774218126	-2.318065868763	0.15283192954403	3.54495235510645e-53	6.49564178813869e-52
Gpt2	224.332224843791	-2.31191032278659	0.317903188608725	1.54981569788018e-14	8.3035845843894e-14
Ffar2	163.643040464797	-2.31056475814682	0.385720402619916	7.81810190964782e-11	3.23842297761737e-10
Rab7b	506.102460060836	-2.30299289956174	0.210328645479579	3.6320158890118e-29	3.72743952438502e-28
Epha7	81.4695390884476	-2.29916005915794	0.656349127807241	1.09855049426773e-05	2.8257253397729e-05
